,author,date,id,nxb,price,rating,rating_Count,review,title,topic
103,Gào,12-2012,52446,NXB Thời Đại,63000,3.4,36,0,Ký Ức Northumbria.,Tiểu Thuyết Tình Cảm Lãng Mạn
521,Tatsuhiko Takimoto,08-2015,150791,NXB Văn Học,56000,4.4,146,0,Chào Mừng Đến Với N.H.K!.,Tiểu Thuyết Tình Cảm Lãng Mạn
1964,Tatsuhiko Takimoto,08-2015,150791,NXB Văn Học,56000,4.4,146,0,Chào Mừng Đến Với N.H.K!.,Văn Học Nước Ngoài
3298,GCT - Apple,08-2015,151238,NXB Phụ Nữ,55300,4.7,46,0,Trời Xanh của Táo,Truyện ngắn - Tản văn
1425,Mori Eto,03-2016,185906,NXB Hội Nhà Văn,56000,4.6,270,0,Colorful.,Văn Học Nước Ngoài
3410,Anh Khang,03-2016,187318,NXB Văn Học,62300,4.5,104,0,Thương mấy cũng là người dưng - anh khang,Truyện ngắn - Tản văn
3411,Nguyễn Ngọc Thạch,03-2016,188485,NXB Hội Nhà Văn,76300,4.3,37,0,.Lạc giữa miền đau - Nguyễn Ngọc Thạch,Truyện ngắn - Tản văn
3413,Hamlet Trương,03-2016,188965,NXB Tổng Hợp,69300,4.4,55,0,12 Cách Yêu - Hamlet trương.,Truyện ngắn - Tản văn
27061,Ajahn Sucitto - Nick Scott,05-2016,223863,NXB Lao Động,35000,0.0,0,0,"Theo Dấu Chân Phật chính hãng, giá tốt",Sách Kiến Thức Tổng Hợp
26780,Ajahn Sucitto - Nick Scott,05-2016,223864,NXB Lao Động,40000,0.0,0,0,"Theo Dấu Chân Phật (Tập 2) chính hãng, giá tốt",Sách Kiến Thức Tổng Hợp
15867,Hà Linh,04-2016,224090,NXB Phụ Nữ,20000,0.0,0,0,Này Sản Phụ Cô Làm Ơn Ăn Ít Đi Nhé! (Ebook) – Giá tốt,Sách Bà Mẹ - Em Bé
15958,Chikara Oyano,05-2016,224094,NXB Phụ Nữ,20000,0.0,0,0,"Kỷ Luật Không Nước Mắt (Ebook) chính hãng, giá tốt",Sách Bà Mẹ - Em Bé
15994,Fujita Koichiro,05-2016,225353,NXB Phụ Nữ,25000,0.0,0,0,"Mẹ Trẻ Chăm Con Khỏe (Ebook) chính hãng, giá tốt",Sách Bà Mẹ - Em Bé
2746,Edward M.Hallowell,09-2010,226556,NXB Trẻ,30000,0.0,0,0,"Khoảnh Khắc Cầu Vồng (Ebook) chính hãng, giá tốt",Truyện ngắn - Tản văn
3899,Roman Karmen,06-2015,228059,NXB Công An Nhân Dân,50000,0.0,0,0,"Ánh sáng trong rừng thẳm chính hãng, giá tốt",Tiểu sử - Hồi ký
15775,Trần  Bích Hà,06-2016,255371,NXB Lao Động,36000,0.0,0,0,"Dạy Con Đôi Khi Thật Đơn Giản. chính hãng, giá tốt",Sách Bà Mẹ - Em Bé
2725,Tuyền Nguyễn,10-2015,255513,NXB Lao Động,30000,0.0,0,0,"Những mảng màu ký ức chính hãng, giá tốt",Truyện ngắn - Tản văn
16161,T.Harv Eker,11-2012,259899,NXB Trẻ,30000,0.0,0,0,"Bí Mật Tư Duy Triệu Phú (Ebook) chính hãng, giá tốt",Sách Kinh Tế
2723,Torey Hayden,04-2010,259906,NXB Tổng hợp TP.HCM,30000,0.0,0,0,"Đêm Tối Và Ánh Sáng (Ebook) chính hãng, giá tốt",Truyện ngắn - Tản văn
2220,Rick Riordan,06-2013,260245,NXB Thời Đại,20000,0.0,0,0,"Nhật Ký Á Thần (Ebook) chính hãng, giá tốt",Văn Học Nước Ngoài
3820,Rick Riordan,06-2013,260245,NXB Thời Đại,20000,0.0,0,0,"Nhật Ký Á Thần (Ebook) chính hãng, giá tốt",Truyện Giả tưởng
14795,Joseph Murphy,02-2012,260278,NXB Văn Hoá Thông Tin,30000,0.0,0,0,"Sức Mạnh Tiềm Thức (Ebook) chính hãng, giá tốt",Sách Nghệ Thuật Sống Đẹp
14347,Joseph Murphy,02-2012,260278,NXB Văn Hoá Thông Tin,30000,0.0,0,0,"Sức Mạnh Tiềm Thức (Ebook) chính hãng, giá tốt",Sách Tư Duy - Kỹ Năng Sống
